date,description,latitude,longitude,location,sources,time,Comments,category,New
2022-02-20,"Date of discovery: 20 February 2022 
Province: Oryol Oblast 
Country/Town/Village:  Spitisino district 

Dubrava Sanatorium is one of the TACs opened in the region to accomodate mostly children as well as adults from Ukraine.",53.03153,36.021538, Oryol Oblast    Spitisino district ,['sources66'],00:00,,POW and Internment camps,
2022-02-20,"Date of discovery: 20 February 2022 
Province: Oryol Oblast 
Country/Town/Village:  Sverdlovskiy district 

Berezka Sanatorium is one of the TACs opened in the region to accommodate mostly children as well as adults from Ukraine.",52.652191,36.239368, Oryol Oblast    Sverdlovskiy district ,['sources67'],00:00,,POW and Internment camps,
2022-02-20,"Date of discovery: 20 February 2022 
Province: Oryol Oblast 
Country/Town/Village:  Pokrovskoe district 

Solnyshko Sanatorium is one of the TACs opened in the region to accommodate mostly children as well as adults from Ukraine.",52.588804,36.861075, Oryol Oblast    Pokrovskoe district ,['sources68'],00:00,,POW and Internment camps,
2022-02-21,"Date of discovery: 21 February 2022 
Province: Nizhny Novgorod Oblast 
Country/Town/Village:  Zelyony Gorod

The Boarding House for War and Labor Veterans is a main destination for deported children and adults. In July 2022, some festive events were organised for the children and teenagers living in the camp, according to this [article](https://nnovgorod.sledcom.ru/news/item/1703850/).",56.172493,44.050279, Nizhny Novgorod Oblast    Zelyony Gorod,['sources63'],00:00,,POW and Internment camps,
2022-02-21,"Date of discovery: 21 February 2022
 Province: Kabardino-Balkarian 
Republic Oblast Country/Town/Village: Nalchik  

Kavkaz is one of five regional sanatoriums preparing to receive over 400 refugees from Donetsk and Luhansk.",43.427572,43.514969, Kabardino-Balkarian   Nalchik  ,['sources60'],00:00,,POW and Internment camps,
2022-02-21,"Date of discovery: 21 February 2022 
Province: Oryol Oblast 
Country/Town/Village:  Streletskii 

Orlovchanka Sanatorium is one the TACs opened in the region to accommodate mostly children from Ukraine. In December 2022, the TAC's employees received an award from the Oryol region governor for receiving over 300 refugees from Donbass since February, according to this [article](https://ogtrk.ru/novosti/101185.html).

The location of this camp is better indexed by [Yandex](https://yandex.ru/maps/org/detskiy_ozdorovitelny_lager_ostashyovo/235314751754/?ll=35.815052%2C55.830050&z=15.93).",53.006273,35.96822, Oryol Oblast    Streletskii ,['sources64'],00:00,,POW and Internment camps,
2022-02-21,"Date of discovery: 21 February 2022 
Province: Kabardino-Balkarian Republic 
Country/Town/Village: Nalchik  

Dolinsk is one of five regional sanatoriums preparing to receive over 400 refugees from Donetsk and Luhansk.",43.455203,43.593678, Kabardino-Balkarian Republic   Nalchik  ,['sources61'],00:00,,POW and Internment camps,
2022-02-22,"Date of discovery: February 22 2022 
Province: Moscow Oblast 
Country/Town/Village: Puskino district

In the Moscow region, one of the TACs for refugees is located in Puskino district and it is named  [""Rodnik""](https://rodnik-korolev.ru/opisanie-lagerya/).  In July 2022, a local singer [went](https://woman.rambler.ru/children/48923590-pavel-paskal-spel-dlya-detey-v-pushkinskom-lagere-rodnik/) to the camp to sing to over 100 children from Donetsk, Lugansk and Mariupol in the camp. The camp started to receive Ukrainians since  February 2022 ([link 1](https://www.tvc.ru/news/show/id/234005),[link 2](https://vk.com/wall-45873375_29699)).


According to [360tv.ru](https://360tv.ru/news/mosobl/podmoskove-uvelichilo-kolichestvo-punktov-vremennogo-razmeschenija-dlja-zhitelej-donbassa-i-belgoroda/), as of  end-2022, there were 12 TACs in the Moscow region receiving refugees from Donbass and Belgorod.

The location of this camp is better indexed by [Yandex](https://bit.ly/3jZPpZ4).",56.036914,38.083328, Moscow Oblast   Puskino district,['sources50'],00:00,,POW and Internment camps,
2022-02-24,"Date of discovery: 24 February 2022 
Province: Moscow Oblast 
Country/Town/Village: Kolomna, Nepetsino

In the Moscow region, one of the TACs for refugees is located in Kolomna, Nepetsino, and is called Meteor. More information about the how the camp was run in February 2022 [here](https://kolomna.bezformata.com/listnews/detskom-ozdorovitelnom-lagere/102848943/).

According to [360tv.ru](https://360tv.ru/news/mosobl/podmoskove-uvelichilo-kolichestvo-punktov-vremennogo-razmeschenija-dlja-zhitelej-donbassa-i-belgoroda/), as of  end-2022, there were 12 TACs in the Moscow region receiving refugees from Donbass and Belgorod.

The location of this camp is better indexed by [Yandex](https://yandex.com/maps/org/children_holiday_home_nepetsino/33306376004/?ll=38.585655%2C55.193131&z=17.4).",55.19297,38.58421," Moscow Oblast   Kolomna, Nepetsino",['sources48'],00:00,,POW and Internment camps,
2022-02-25,"Date of discovery: 25 February 2022
 Province: Mari El Oblast 
Country/Town/Village:  Tair, Zvenigovsky district 

Zhuravushka is one of three TACs organised in the region.",56.279383,47.846803," Mari El Oblast    Tair, Zvenigovsky district ",['sources73'],00:00,,POW and Internment camps,
2022-02-25,"Date of discovery: 25 February 2022 
Province: Mari El Oblast 
Country/Town/Village: Korta 

Victoria Olympic center is one of three TACs organised in the region.",56.598156,47.970697, Mari El Oblast   Korta ,['sources75'],00:00,,POW and Internment camps,
2022-02-25,"Date of discovery: 25 February 2022 
Province: Mari El Oblast 
Country/Town/Village: Kuyar 

Avangard is one of three TACs organised in the region. The location of this camp is better indexed by [Yandex](https://bit.ly/3YzpVAy).",56.559761,47.978201, Mari El Oblast   Kuyar ,['sources74'],00:00,,POW and Internment camps,
2022-02-26,"Date of discovery: 26 February 2022 
Province: Moscow Oblast 
Country/Town/Village: Zaraysk 

In the Moscow region, one of the TACs is located in Zaraysk district, in ""Sturion"" (осетр) camp. 

According to [360tv.ru](https://360tv.ru/news/mosobl/podmoskove-uvelichilo-kolichestvo-punktov-vremennogo-razmeschenija-dlja-zhitelej-donbassa-i-belgoroda/), as of  end-2022, there were 12 TACs in the Moscow region receiving refugees from Donbass and Belgorod.

The location of thus camp is better indexed by [Yandex](https://bit.ly/3IqR3w3).",54.67903,38.796346, Moscow Oblast   Zaraysk ,['sources51'],00:00,,POW and Internment camps,
2022-02-26,"Date of discovery: 26 February 2022 
Province: Rostov Oblast 
Country/Town/Village: Neklinovsky

The Romashka camp received 250 children evacuated from Donbass in February 2022.",47.143007,38.59701, Rostov Oblast   Neklinovsky,['sources80'],00:00,,POW and Internment camps,
